company_name,industry,main_products
엠앤씨솔루션,특수 목적용 기계 제조업,방위산업용 유압식/전기식 부품 및 시스템
셀로맥스사이언스,기타 식품 제조업,건강기능식품
KB제31호스팩,금융 지원 서비스업,기업인수합병
키움제11호스팩,금융 지원 서비스업,기업 인수합병
KB발해인프라,신탁업 및 집합투자업,
디비금융제13호스팩,기타 금융업,기업인수 및 합병
교보17호스팩,금융 지원 서비스업,기업인수합병
대신밸런스제19호스팩,금융 지원 서비스업,기업 인수 및 합병
위츠,전자부품 제조업,"무선충전소재, 부품 제조"
유디엠텍,소프트웨어 개발 및 공급업,"PLC eXpert, OPTRA Black-box, OPTRA Tracker"
RF시스템즈,기타 금속 가공제품 제조업,"방산제품(레이더시스템, 안테나시스템, 환경제어시스템 등)"
사이냅소프트,소프트웨어 개발 및 공급업,"웹 기반 문서뷰어, 문서필터, 웹 에디터 등"
하나34호스팩,금융 지원 서비스업,기업인수목적
에스켐,기타 화학제품 제조업,OLED 유기화합물 등
엠오티,특수 목적용 기계 제조업,이차전지 제조 자동화 설비
신한제15호스팩,금융 지원 서비스업,금융 지원 서비스업
쓰리빌리언,자연과학 및 공학 연구개발업,유전체 분석 기반 희귀 유전질환 진단 검사 서비스
닷밀,"영화, 비디오물, 방송프로그램 제작 및 배급업","실감미디어 콘텐츠 및 시설 구축, 전시 및 테마파크 운영"
노머스,창작 및 예술관련 서비스업,"공연기획 및 MD, Fromm 플랫폼"
에어레인,일반 목적용 기계 제조업,기체분리막 모듈 및 시스템
토모큐브,사진장비 및 광학기기 제조업,"홀로토모그래피 HT-X1, HT-2H"
더본코리아,상품 종합 도매업,프랜차이즈
HEM파마,자연과학 및 공학 연구개발업,"맞춤형 헬스케어, LBP 디스커버리 플랫폼"
에이럭스,그외 기타 제품 제조업,교육용 드론/로봇 및 코딩 콘텐츠
탑런토탈솔루션,전자부품 제조업,전장디스플레이 및 pOLED 부품
성우,일차전지 및 이차전지 제조업,"이차전지 부품(2170 Topcap Ass'y, S4623 등), 자동차 전장부품(Motor Housing, EV Relay 등)"
유진스팩11호,금융 지원 서비스업,기업인수합병
타조이엔터테인먼트,창작 및 예술관련 서비스업,"공연기획, 방송·공연"
클로봇,소프트웨어 개발 및 공급업,"로봇 소프트웨어(카멜레온, 크롬스)"
에이치엔에스하이텍,전자부품 제조업,"ACF(이방성전도필름), 수정진동자/수정발진기"
웨이비스,반도체 제조업,"GaN RF 칩, 패키지 트랜지스터, 모듈 등"
씨메스로보틱스,특수 목적용 기계 제조업,AI 기반 로봇 솔루션 및 3D 비전 솔루션
한켐,기초 화학물질 제조업,OLED 발광층 소재 등
루미르,"항공기,우주선 및 부품 제조업","인공위성 시스템 및 전장품, 위성 영상 및 정보"
와이제이링크,특수 목적용 기계 제조업,SMT(PCB 표면실장) 이송 및 추적장비 등 스마트 공정장비
인스피언,소프트웨어 개발 및 공급업,"SAP 보안 솔루션, SAP PO/CPI 컨설팅, EDI SaaS 플랫폼"
셀비온,의약품 제조업,"셀비온그린주, 셀비온메브로페닌주, 도페정 등"
제닉스로보틱스,특수 목적용 기계 제조업,"Stocker, AGV/AMR"
차이커뮤니케이션,광고업,"광고대행, 광고물 작성"
한화비전,통신 및 방송 장비 제조업,비금융지주회사
KB제30호스팩,금융 지원 서비스업,기업인수합병
아이언디바이스,반도체 제조업,스마트폰용 오디오 앰프 반도체 Soc
미래에셋비전스팩7호,금융 지원 서비스업,기업인수합병
아이비젼웍스,특수 목적용 기계 제조업,이차전지 검사시스템 및 검사시스템 설치셋업용역
아이스크림미디어,소프트웨어 개발 및 공급업,"교육출판, 커머스, 연수"
이엔셀,기초 의약물질 제조업,"첨단바이오의약품 위탁개발생산(CDMO) 서비스 / 차세대 세포,유전자 치료제"
M83,"영화, 비디오물, 방송프로그램 제작 및 배급업",VFX
티디에스팜,의약품 제조업,"경피약물전달시스템(습포제, 첩부제)"
넥스트바이오메디컬,의료용 기기 제조업,"내시경용 지혈재, 혈관색전 미립구"
케이쓰리아이,소프트웨어 개발 및 공급업,XR 실감형콘텐츠
전진건설로봇,특수 목적용 기계 제조업,콘크리트 펌프카
유라클,소프트웨어 개발 및 공급업,모바일 앱 개발 플랫폼
교보16호스팩,금융 지원 서비스업,기업인수합병
뱅크웨어글로벌,소프트웨어 개발 및 공급업,국내외 은행 및 금융기업 대상 코어뱅킹 소프트웨어
아이빔테크놀로지,사진장비 및 광학기기 제조업,"생체현미경, CRO 서비스"
피앤에스로보틱스,의료용 기기 제조업,보행재활로봇 시스템
HS효성,기타 금융업,지주사업
산일전기,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등"
엔에이치스팩31호,금융 지원 서비스업,금융지원서비스업
SK증권제13호스팩,금융 지원 서비스업,기업인수목적 주식회사
엑셀세라퓨틱스,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지)
이베스트스팩6호,금융 지원 서비스업,기업인수목적 주식회사
시프트업,소프트웨어 개발 및 공급업,게임 소프트웨어
하스,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관"
이노스페이스,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역"
신한글로벌액티브리츠,신탁업 및 집합투자업,신탁 및 집합투자
에이치브이엠,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등"
팡스카이,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱
하이젠알앤엠,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)"
한국제15호스팩,금융 지원 서비스업,기업인수합병
에스오에스랩,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR)
미래에셋비전스팩6호,금융 지원 서비스업,기업인수합병
에이치엠씨제7호스팩,금융 지원 서비스업,기타금융
파라다이스,유원지 및 기타 오락관련 서비스업,"카지노, 호텔, 복합리조트"
한중엔시에스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수냉식 냉각시스템 ESS Parts, 공랭식 ESS Module Parts, EV Module 및 내연기관 Parts"
KB제29호스팩,금융 지원 서비스업,기업인수합병
미래에셋비전스팩5호,금융 지원 서비스업,기업인수합병
씨어스,의료용 기기 제조업,심전도검사솔루션 입원환자모니터링솔루션
디비금융스팩12호,기타 금융업,기업인수 및 합병
라메디텍,의료용 기기 제조업,초소형 레이저 의료기기 및 미용기기
그리드위즈,"그외 기타 전문, 과학 및 기술 서비스업","수요관리 서비스, 전기차 충전기 모뎀 등"
다원넥스뷰,특수 목적용 기계 제조업,LSMB(Laser Micro Bonding System)
미래에셋비전스팩4호,금융 지원 서비스업,기업인수목적회사(기타금융서비스)
노브랜드,편조의복 제조업,"Knit, Woven 의류"
아이씨티케이,반도체 제조업,"PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발"
HD현대마린솔루션,"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어"
SK증권제12호스팩,금융 지원 서비스업,기업인수목적 주식회사
코칩,전자부품 제조업,소형 및 초소형 슈퍼커패시터
민테크,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","배터리 진단시스템, 배터리 시스템, 충방전 검사장비"
카티스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",산업인프라 보안플랫폼
디앤디파마텍,자연과학 및 공학 연구개발업,대사성질환 치료제 등
유안타제16호스팩,금융 지원 서비스업,금융 지원 서비스(기업인수목적회사)
제일엠앤에스,특수 목적용 기계 제조업,2차전지 믹싱시스템
삐아,기타 화학제품 제조업,색조화장품
하나33호스팩,금융 지원 서비스업,기업인수합병
신한제13호스팩,금융 지원 서비스업,기타금융서비스(기업합병)
신한제12호스팩,금융 지원 서비스업,금융서비스(기업인수목적회사)
아이엠비디엑스,자연과학 및 공학 연구개발업,"알파리퀴드ⓡ 100, 알파리퀴드ⓡ HRR, 알파리퀴드ⓡ 디텍트, 알파리퀴드ⓡ 스크리닝"
SK이터닉스,건물 건설업,부동산 개발
하나32호스팩,금융 지원 서비스업,기업인수합병
엔젤로보틱스,특수 목적용 기계 제조업,"재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등"
제이투케이바이오,기타 화학제품 제조업,화장품 원료(천연소재 바이오소재 등)
삼현,자동차 신품 부품 제조업,"스마트 액추에이터, 스마트 파워유닛"
오상헬스케어,의료용 기기 제조업,"생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등"
케이엔알시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","특수목적 시험장비, 산업용로봇"
하나31호스팩,금융 지원 서비스업,기업인수합병
SK증권제11호스팩,금융 지원 서비스업,기업인수목적 주식회사
유안타제15호스팩,금융 지원 서비스업,금융 지원 서비스
유진스팩10호,금융 지원 서비스업,기업인수합병
에이피알,기타 화학제품 제조업,"화장품, 피부미용기기 등"
E8,소프트웨어 개발 및 공급업,"CFD 시뮬레이션 소프트웨어, 디지털트윈 플랫폼"
코셈,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",주사전자현미경(SEM)
케이웨더,일반 목적용 기계 제조업,"공기개선솔루션, 기상데이터, 공기측정솔루션 등"
사피엔반도체,반도체 제조업,Micro/Mini-LED Display Driver IC
에스피소프트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SPLA 라이센스 총판 사업,CLOUD, gDaaS 등"
스튜디오삼익,기타 생활용품 소매업,"침실가구, 거실가구, 옷장/수납, 주방가구 등"
신영스팩10호,금융 지원 서비스업,기업인수합병
